Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,,Wiley,,https://perma.cc/G2VQ-TRKN,0,,0,"Access to data and Data sharing
If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.

The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors may provide a data availability statement, including a link to the repository they have used, in order that this statement can be published in their paper. Shared data should be cited.

More information is available here

All data must be made available on request of the editor-in-chief either before or after submission. Failure to do so before acceptance will result in rejection of the paper and after acceptance in retraction of the paper.",0,The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository.,0,The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. ,2,"Randomised controlled trials
The Journal requires authors to conform to CONSORT 2010 (see CONSORT Statement) in relation to the reporting of randomised controlled clinical trials; also recommended is the Extensions of the CONSORT Statement with regard to cluster randomised controlled trials.In particular, authors of RCTs must include in their paper a flow chart illustrating the progress of subjects through the trial (CONSORT diagram) and the CONSORT checklist. The flow diagram should appear in the main paper, the checklist in the online Appendix.

Systematic Reviews
Systematic reviews should conform to the PRISMA guidelines.
",0,"Randomised controlled trials
...Trial registry name, registration identification number, and the URL for the registry should also be included at the end of the methods section of the Abstract and again in the Methods section of the main text, and in the online manuscript submission. The manuscript should include sample size calculation and should specify primary and secondary trial outcomes/endpoints.

Trials should be registered in one of the ICJME-recognised trial registries such as:

Australian New Zealand Clinical Trials Registry https://www.anzctr.org.au/
Clinical Trials http://www.clinicaltrials.gov
ISRCTN Register http://isrctn.org
Nederlands Trial Register http://www.trialregister.nl/trialreg/index.asp
UMIN Clinical Trials Registry http://www.umin.ac.jp/ctr

Trial registration must include a pre-registered, date stamped, publicly available protocol setting out, at least, the research question, hypotheses, primary outcome and statistics plan. These requirements apply to all trials whatever their academic provenance (i.e., including trials of educational and social work interventions) or whether they include a clinical outcome (i.e., those trials that focus on a mechanism of action rather than symptoms or functional impairment retain the requirement for pre-registration). Authors must state whether the primary trial report is referenced and if they have identified the study as a secondary analysis of existing trial data.

Systematic Reviews
...The journal strongly encourages the pre-registration of review protocols on publicly accessible platforms. From 2021 this will be mandatory.

Other submissions
Pre-registration of studies with all other types of designs on publicly available platforms is encouraged. All pre-registered studies accepted for publication will be flagged following publication. ",3,"Trial registration must include a pre-registered, date stamped, publicly available protocol setting out, at least, the research question, hypotheses, primary outcome and statistics plan. ",0,,0,,0,2,5
Journal of Child Language,0305-0009,Cambridge University Press,,https://perma.cc/MA7P-VMSK,0,,0,,0,,0,,0,,0,,0,,0,,3,"""JCL welcomes inquiries from authors interested in Registered Reports, an important new article type in the journal. Please familiarize yourself with the special information on Registered Reports at JCL.""",0,3,3
JOURNAL OF CAREER DEVELOPMENT,0894-8453 ,Sage,,https://journals.sagepub.com/author-instructions/JCD,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
JOURNAL OF CAREER ASSESSMENT,1069-0727 ,Sage,,https://journals.sagepub.com/author-instructions/JCA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
JOURNAL OF BLACK PSYCHOLOGY,0095-7984 ,Sage,,https://journals.sagepub.com/author-instructions/JBP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Journal of Behavior Therapy and Experimental Psychiatry,0005-7916,Elsevier,,https://perma.cc/2AL5-3AD2,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,"""Clinical trials (RCTs and others) should be registered in an official trial register and the registration number should be reported. These studies should include a flow diagram according to the most recent CONSORT guidelines and a CONSORT checklist should accompany the submission. See http://www.consort-statement.org for the guidelines and forms."" Should, and clinical trials only.",0,,1,"""Replications are essential in science and are, to the present editor's opinion, often undervalued. Short reports of attempts to replicate experimental studies, whether successful, or failed, and whether applied or fundamental, are considered for publication, if appropriately powered. The maximum number of words is 2500 for these reports.""",0,,0,2,2
JOURNAL OF ATTENTION DISORDERS,1087-0547 ,Sage,,https://journals.sagepub.com/author-instructions/JAD,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Journal of Applied Sport Psychology,,Taylor & Francis,,https://perma.cc/9AA3-6PKN,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance on data citation.",0,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found."" ""Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Encouraged, not required data availability regardless of availability.",0,,0,,0,,0,,0,,0,,0,,0,0,0
JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION,,Elsevier,,https://perma.cc/BD6V-LGZG,1,"In addition, you can link to relevant data or entities through identifiers within the text of your manuscript, using the following format: Database: xxxx (e.g., TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).

...

Data references

This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article",1,"Research data

This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.

...

Data statement
To foster transparency, we encourage you to state the availability of your data in your submission. This may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you will have the opportunity to indicate why during the submission process, for example by stating that the research data is confidential. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.",1,"Data, Analytic Methods (Code), and Research Materials Transparency

The policy of the Journal of Applied Research in Memory and Cognition is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available to any researcher for purposes of reproducing the results or replicating the procedure.

Authors must, in acknowledgments or the first footnote, indicate if they will or will not make their data, analytic methods, and study materials available to other researchers. If an author agrees to make materials available, the author must specify where that material will be available.
",1,"Data, Analytic Methods (Code), and Research Materials Transparency

The policy of the Journal of Applied Research in Memory and Cognition is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available to any researcher for purposes of reproducing the results or replicating the procedure.

Authors must, in acknowledgments or the first footnote, indicate if they will or will not make their data, analytic methods, and study materials available to other researchers. If an author agrees to make materials available, the author must specify where that material will be available.",0,,0,,0,,0,,0,,0,4,4
Journal of Applied Developmental Psychology,0193-3973,Elsevier,,https://perma.cc/RNK7-6F3J,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods, and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,0021-8863 ,Sage,,https://journals.sagepub.com/author-instructions/JAB,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Journal of Anxiety Disorders,0887-6185,Elsevier,,https://perma.cc/2HPF-WNEP,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
JOURNAL OF ADOLESCENT RESEARCH,0743-5584 ,Sage,,https://journals.sagepub.com/author-instructions/JAR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Journal of Adolescent Health,1054-139X,Elsevier,,https://perma.cc/5RDP-5NTY,1,,0,,0,,0,,1,"""Authors are strongly encouraged to include the CONSORT Flow Chart Diagram and a CONSORT Checklist (MSWord document) with their manuscript submission."" Encouraged.",0,"""Authors reporting results of a clinical trial must affirm that the study has been registered at www.clinicaltrials.gov or another WHO-approved national or international registry prior to the enrollment of the first subject. A list of registries can be found at http://www.icmje.org/about-icmje/faqs/clinical-trials-registration/. The trial registration number must be listed on the title page of the manuscript submission packet."" Clinical trials only.",0,,0,,0,,0,2,2
Journal of Adolescence,0140-1971,Elsevier,,https://perma.cc/7EHP-X55F,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
INTERVENTION IN SCHOOL AND CLINIC,1053-4512 ,Sage,,https://journals.sagepub.com/author-instructions/ISC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Internet Interventions,2214-7829,Elsevier,,https://perma.cc/2S66-YXWZ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
International Review of Research in Developmental Disabilities,2211-6095,Elsevier,,https://www.sciencedirect.com/bookseries/international-review-of-research-in-developmental-disabilities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
International Psychogeriatrics,1041-6102,Cambridge University Press,,https://perma.cc/U6KZ-UNA8,0,,0,,0,,0,,1,"""A check list and flow chart in accordance with the CONSORT guidelines which can be found at http://www.consort-statement.org. Please send in the checklist as a supplementary file and include the flow chart as Figure 1 in the manuscript."" Clinical trials only.",0,"""We will not review any paper submitted to us reporting a randomized clinical trial unless the trial was registered in a public trial registry from the date it commenced recruitment."" Clinical trials only.",0,,0,,0,,0,1,1
International Journal of Sports Science & Coaching,1747-9541,Sage,,https://journals.sagepub.com/author-instructions/SPO,0,Mention without guidance.,0,"""At SAGE we are committed to facilitating openness, transparency and reproducibility of research. Where relevant, International Journal of Sports Science & Coaching encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file. Authors should also follow data citation principles. For more information please visit the SAGE Author Gateway, which includes information about SAGE’s partnership with the data repository Figshare."" Encourages, not requires.",0,,0,,0,,0,,0,,0,,0,,0,0,0
International Journal of Psychophysiology,,Elsevier,,https://perma.cc/H3EE-9CF2,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged, but not required.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""The Editorial Board strongly encourages authors to consult and report their use of guidelines appropriate to their psychophysiology research methods. Guidelines papers for the use of heart rate variability (HRV), electrodermal activity, impedance cardiography, , human electromyography (EMG), startle eye-blink electromyography, electroencephalogram (EEG), event-related potentials (ERPs), and magnetoencephalography (MEG) can be found here""",0,,0,,0,,0,,0,2,2
INTERNATIONAL JOURNAL OF PSYCHOLOGY,1464-066X,Wiley,,https://perma.cc/G6PW-925V ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,,,,https://perma.cc/LL89-X7BX,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
International Journal of Intercultural Relations,0147-1767,Elsevier,,https://perma.cc/QZW3-A5TM,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
International Journal of Hygiene and Environmental Health,1438-4639,Elsevier,,https://www.elsevier.com/journals/international-journal-of-hygiene-and-environmental-health/1438-4639/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged, not required.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""The manuscript should be in line with the Recommendations for the Conduct, Reporting, Editing and Publication of Scholarly Work in Medical Journals and""",0,,0,,0,,0,,0,2,2
International Journal of Epidemiology,0300-5771,Oxford University Press,,https://academic.oup.com/ije/pages/General_Instructions,2,"""International Journal of Epidemiology supports the Force 11 Data Citation Principles and requires that all publicly available datasets be fully referenced in the reference list with an accession number or unique identifier such as a digital object identifier (DOI). Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",1,"""Where ethically feasible, International Journal of Epidemiology strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.

We suggest that data be presented in the main manuscript or additional supplementary material, or deposited in a public repository whenever possible. Information on general repositories for all data types, and a list of recommended repositories by subject area, is available on the Research Data Policy page.""",1,"""Where ethically feasible, International Journal of Epidemiology strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.

We suggest that data be presented in the main manuscript or additional supplementary material, or deposited in a public repository whenever possible. Information on general repositories for all data types, and a list of recommended repositories by subject area, is available on the Research Data Policy page.""",0,,2,"""For observational studies, including case–control, cohort and cross-sectional studies, the IJE requires authors to follow the STrengthening the Reporting of OBservational studies in Epidemiology (STROBE) statement and relevant checklist.

Where such studies include routinely collected health data, the IJE requires authors to follow the REporting of studies Conducted using Observational Routinely-collected health Data (RECORD) statement and relevant checklist.

Full details of all reporting guidelines are available at the EQUATOR web site.""",0,,0,,0,,0,,0,6,6
International Journal of Clinical and Health Psychology,1697-2600,Elsevier,,https://perma.cc/24F5-ENHQ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encourage.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254 ,Sage,,https://perma.cc/EL5W-5XT8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,0091-4150 ,Sage,,https://journals.sagepub.com/author-instructions/AHD,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Intelligence,0160-2896,Elsevier,,https://perma.cc/F29S-LZ2L,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",2,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,3,3
Infection control and hospital epidemiology,0899-823X,Cambridge University Press,,https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/information/instructions-contributors,1,"For information about citing external data, please take a look at IASSIST’s Quick Guide to Data Citation. ",0,"""In the interests of supporting transparency and openness, when possible, authors should make available any data sets, code, materials, processes, and any other resources that would be necessary for others to fully evaluate the basis for any findings, and to verify or reproduce the work. Authors should include any information that will be required by others to allow them to access, interpret and process these resources."" Should, not must. No disclosure requirement.",0,"""In the interests of supporting transparency and openness, when possible, authors should make available any data sets, code, materials, processes, and any other resources that would be necessary for others to fully evaluate the basis for any findings, and to verify or reproduce the work. Authors should include any information that will be required by others to allow them to access, interpret and process these resources."" Should, not must. No disclosure requirement.",0,"""In the interests of supporting transparency and openness, when possible, authors should make available any data sets, code, materials, processes, and any other resources that would be necessary for others to fully evaluate the basis for any findings, and to verify or reproduce the work. Authors should include any information that will be required by others to allow them to access, interpret and process these resources."" Should, not must. No disclosure requirement.",1,"""For guidance regarding the reporting of randomized (CONSORT), observational (STROBE), meta-analyses (PRISMA), and other clinical trials, please consult www.equator-network.org.""",0,,0,,0,,0,,0,2,2
Infants & Young Children,,Wolters Kluwer Health,,https://perma.cc/2TZS-W9DF,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Infant Behavior & Development,0163-6383,Elsevier,,https://perma.cc/T85L-YJWJ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,3,"""Registered Reports: Please click here for the full guidance on Registered Reports for both authors and reviewers.""",0,4,4
Industrial and Organizational Psychology: Perspectives on Science and Practice,1754-9426,Cambridge University Press,,https://perma.cc/NEA7-47LK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
i-Perception,,Sage,,https://perma.cc/M9EG-JTLT,0,,0,"""SAGE acknowledges the importance of research data availability as an integral part of the research and verification process for academic journal articles.  Once accepted for publication, the author is expected to make stimulus material and raw data available if requested.

Some funders require, and SAGE strongly recommends, that you provide a statement on how any underlying research materials related to your paper (for example data, samples or models) can be accessed."" Recommended, not required.",0,,0,,0,,0,,0,,0,,3,"""Registered Reports:  These allow you to submit a prospective manuscript for a study that you have not yet run. The review is completed in 2 stages.  At Stage 1 (before results) the manuscript will be assessed on the basis of how strong the hypotheses are and whether the methodology and design are robust and promising. At this point the paper can be accepted in principle or rejected. If accepted in principle then the final article should be accepted unless the final manuscript fails to conduct the study originally described. The Stage 1 manuscript should include: introduction - spelling out why the study is important; methods - including information to interpret whether the study is sufficiently well-powered to find a positive result (or to interpret a null result); analysis - detailing as fully as possible the analysis steps that will be used. The Stage 1 submission may also include pilot data, but this is not required. Stage 1 acceptance is conditional on the authors also submitting, immediately after Stage 1 acceptance, a formal registration to an appropriate repository such as the Open Science Framework (see https://osf.io/rr/). At Stage 2 (after results), you should add the data and analyses previously described, and a discussion, so the final paper is similar to a Standard Article. Additional data and/or analyses, not included in Stage 1, can also be provided at this stage but these must be clearly distinguished from the a priori analyses. """,0,3,3
HUMAN RESOURCE DEVELOPMENT QUARTERLY,,Wiley,,https://onlinelibrary.wiley.com/page/journal/15321096/homepage/forauthors.html,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Human Movement Science,0167-9457,Elsevier,,https://perma.cc/GZ2G-4N7P,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,3,"""NEW! Registered reports (click here for more details). These submissions undergo a two-phase review process in which study rationale and methodology are considered prior to the research being undertaken.""",0,4,4
HUMAN FACTORS,0018-7208 ,Sage,,https://journals.sagepub.com/author-instructions/HFS,0,,0,,0,,0,,0,,0,,0,,1,Replication Study. Authors who wish to reproduce prior research studies are invited to submit a proposal to submit a replication study. This is a two-stage process. Initial submissions should be a brief (1–2-page) summary of the study to be replicated and include the following information:,0,,0,1,1
GROUP & ORGANIZATION MANAGEMENT,1059-6011 ,Sage,,https://journals.sagepub.com/author-instructions/GOM,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
GERMAN JOURNAL OF HUMAN RESOURCE MANAGEMENT-ZEITSCHRIFT FUR PERSONALFORSCHUNG,2397-0022 ,Sage,,https://journals.sagepub.com/author-instructions/GJH,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Focus on Autism and Other Developmental Disabilities,1088-3576 ,Sage,,https://journals.sagepub.com/author-instructions/FOA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
First Language,0142-7237,Sage,,https://journals.sagepub.com/author-instructions/FLA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Feminism & Psychology,0959-3535,Sage,,https://journals.sagepub.com/author-instructions/FAP,0,Mentioned with no guidance.,0,"""Where relevant, The Journal encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file.""

""Feminism & Psychology requests all authors submitting any primary data used in their research articles if the articles are accepted to be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained. This information should include links to third-party data repositories or detailed contact information for third-party data sources. Data available only on an author-maintained website will need to be loaded onto either the journal’s platform or a third-party platform to ensure continuing accessibility."" Ambiguous, ""requests"" and ""should"" suggests that it is optional, ""will need"" suggests requirement.",0,,0,,0,,0,,0,,0,,0,,0,0,0
EVOLUTIONARY PSYCHOLOGY,1474-7049 ,Sage,,https://journals.sagepub.com/author-instructions/EVP,0,,0,,0,,0,,1,"Where statistical analyses have been conducted, please ensure that the methodology has been accurately described. In comparative studies, power calculations are usually required. In research papers requiring complex statistics, the advice of an expert statistician should be sought at the design/implementation stage of the study.",0,,0,,0,,0,,0,1,1
